year,team,league,total_games,wins,losses,ties,season_win_loss_%,pythagorean_win_loss_%,division_finish,division_game_back,runs_for,runs_against,season_total_attendance,average_batter_age,average_pitcher_age,number_of_batters,number_of_pitchers,top_player,manager
1999,CHC,NL Central,162,67,95,0,0.414,0.406,6th of 6,30,747,920,2813854,31.2,28.8,47,25,S.Sosa (4.8),J.Riggleman (67-95)
1998,CHC,NL Central,163,90,73,0,0.552,0.522,2nd of 6,12.5,831,792,2623194,30.1,28.8,47,25,S.Sosa (6.5),J.Riggleman (90-73)
1997,CHC,NL Central,162,68,94,0,0.42,0.455,5th of 5,16,687,759,2190308,29.4,28.2,42,21,M.Grace (4.2),J.Riggleman (68-94)
1996,CHC,NL Central,162,76,86,0,0.469,0.501,4th of 5,12,772,771,2219110,29,28.3,41,17,S.Sosa (5.4),J.Riggleman (76-86)
1995,CHC,NL Central,144,73,71,0,0.507,0.515,3rd of 5,12,693,671,1918265,28.3,27.8,43,21,S.Sosa (5.3),J.Riggleman (73-71)
2019,CIN,NL Central,162,75,87,0,0.463,0.494,4th of 5,16,701,711,1808685,27.9,28.2,47,26,S.Gray (5.6),D.Bell (75-87)
2018,CIN,NL Central,162,67,95,0,0.414,0.426,5th of 5,28.5,696,819,1629356,27.2,27.1,53,32,S.Gennett (4.2),B.Price (3-15) and J.Riggleman (64-80)
2017,CIN,NL Central,162,68,94,0,0.42,0.435,5th of 5,24,753,869,1836917,27.2,27.6,47,31,J.Votto (7.4),B.Price (68-94)
2016,CIN,NL Central,162,68,94,0,0.42,0.42,5th of 5,35.5,716,854,1894085,27.8,27.1,52,32,J.Votto (4.0),B.Price (68-94)
2015,CIN,NL Central,162,64,98,0,0.395,0.426,5th of 5,36,640,754,2419506,29.5,27.3,50,28,J.Votto (7.7),B.Price (64-98)
2014,CIN,NL Central,162,76,86,0,0.469,0.487,4th of 5,14,595,612,2476664,29,28,45,25,J.Cueto (6.8),B.Price (76-86)
2013,CIN,NL Central,162,90,72,0,0.556,0.577,3rd of 5,7,698,589,2492101,28.5,27.7,39,20,J.Votto (6.6),D.Baker (90-72)
2012,CIN,NL Central,162,97,65,0,0.599,0.559,1st of 6,--,669,588,2347251,28.8,27.1,38,17,J.Votto (5.9),D.Baker (97-65)
2011,CIN,NL Central,162,79,83,0,0.488,0.509,3rd of 6,17,735,720,2213588,28.6,27.7,42,21,J.Votto (6.6),D.Baker (79-83)
2010,CIN,NL Central,162,91,71,0,0.562,0.565,1st of 6,--,790,685,2060550,29,28.2,44,23,J.Votto (7.0),D.Baker (91-71)
2009,CIN,NL Central,162,78,84,0,0.481,0.467,4th of 6,13,673,723,1747919,27.8,29,46,22,J.Votto (4.8),D.Baker (78-84)
2008,CIN,NL Central,162,74,88,0,0.457,0.442,5th of 6,23.5,704,800,2058632,28.6,28.7,48,24,E.Volquez (4.5),D.Baker (74-88)
2007,CIN,NL Central,162,72,90,0,0.444,0.461,5th of 6,13,783,853,2058593,29.7,29.1,51,25,A.Harang (5.5),J.Narron (31-51) and P.Mackanin (41-39)
2006,CIN,NL Central,162,80,82,0,0.494,0.469,3rd of 6,3.5,749,801,2134607,29.6,29.5,54,29,B.Arroyo (7.0),J.Narron (80-82)
2005,CIN,NL Central,163,73,89,1,0.451,0.463,5th of 6,27,820,889,1943067,28.6,28.9,46,22,F.Lopez (4.3),D.Miley (27-43) and J.Narron (46-46)
2004,CIN,NL Central,162,76,86,0,0.469,0.414,4th of 6,29,750,907,2287250,28.4,28.5,44,22,A.Dunn (4.7),D.Miley (76-86)
2003,CIN,NL Central,162,69,93,0,0.426,0.39,5th of 6,19,694,886,2355259,27.3,28,57,30,J.Guillen (4.7),"B.Boone (46-58), R.Knight (1-0) and D.Miley (22-35)"
2002,CIN,NL Central,162,78,84,0,0.481,0.46,3rd of 6,19,709,774,1855787,27.7,28.7,43,21,E.Dessens (4.2),B.Boone (78-84)
2001,CIN,NL Central,162,66,96,0,0.407,0.434,5th of 6,27,735,850,1879757,28,27.4,50,25,E.Dessens (4.5),B.Boone (66-96)
2000,CIN,NL Central,163,85,77,1,0.525,0.534,2nd of 6,10,825,765,2577371,29.2,28.5,45,21,K.Griffey (5.5),J.McKeon (85-77)
1999,CIN,NL Central,163,96,67,0,0.589,0.589,2nd of 6,1.5,865,711,2061222,28.3,28,35,17,M.Cameron (5.5),J.McKeon (96-67)
1998,CIN,NL Central,162,77,85,0,0.475,0.494,4th of 6,25,750,760,1793649,27.5,28,47,24,B.Larkin (5.7),J.McKeon (77-85)
1997,CIN,NL Central,162,76,86,0,0.469,0.427,3rd of 5,8,651,764,1785788,28.2,29.6,50,25,J.Shaw (3.6),R.Knight (43-56) and J.McKeon (33-30)
1996,CIN,NL Central,162,81,81,0,0.5,0.503,3rd of 5,7,778,773,1861428,29.3,29.2,48,24,B.Larkin (7.2),R.Knight (81-81)
1995,CIN,NL Central,144,85,59,0,0.59,0.582,1st of 5,--,747,623,1837649,28.4,28.3,47,24,R.Sanders (6.6),D.Johnson (85-59)
2019,PIT,NL Central,162,69,93,0,0.426,0.417,5th of 5,22,758,911,1491439,27.4,27.2,54,34,B.Reynolds (3.9),C.Hurdle (69-92) and T.Prince (0-1)
2018,PIT,NL Central,161,82,79,0,0.509,0.499,4th of 5,13,692,693,1465316,27.8,26.5,48,24,J.Taillon (4.4),C.Hurdle (82-79)
2017,PIT,NL Central,162,75,87,0,0.463,0.459,4th of 5,17,668,731,1919447,28.2,27.1,47,24,J.Harrison (3.4),C.Hurdle (75-87)
2016,PIT,NL Central,162,78,83,1,0.484,0.482,3rd of 5,25,729,758,2249201,28.9,28.6,55,32,S.Marte (4.9),C.Hurdle (78-83)
2015,PIT,NL Central,162,98,64,0,0.605,0.571,2nd of 5,2,697,596,2498596,28.2,29.6,46,21,S.Marte (5.3),C.Hurdle (98-64)
2014,PIT,NL Central,162,88,74,0,0.543,0.535,2nd of 5,2,682,631,2442564,27.3,28.1,45,23,A.McCutchen (6.1),C.Hurdle (88-74)
2013,PIT,NL Central,162,94,68,0,0.58,0.543,2nd of 5,3,634,577,2256862,27.9,28.7,49,29,A.McCutchen (7.9),C.Hurdle (94-68)
2012,PIT,NL Central,162,79,83,0,0.488,0.484,4th of 6,18,651,674,2091918,27.6,30.2,49,25,A.McCutchen (6.9),C.Hurdle (79-83)
2011,PIT,NL Central,162,72,90,0,0.444,0.43,4th of 6,24,610,712,1940429,27.2,28.1,52,25,A.McCutchen (5.4),C.Hurdle (72-90)
2010,PIT,NL Central,162,57,105,0,0.352,0.329,6th of 6,34,587,866,1613399,26.5,28.6,52,28,A.McCutchen (3.8),J.Russell (57-105)
2009,PIT,NL Central,161,62,99,0,0.385,0.415,6th of 6,28.5,636,768,1577853,27,26.3,49,26,G.Jones (3.3),J.Russell (62-99)
2008,PIT,NL Central,162,67,95,0,0.414,0.416,6th of 6,30.5,735,884,1609076,28.4,26.5,47,26,P.Maholm (3.8),J.Russell (67-95)
2007,PIT,NL Central,162,68,94,0,0.42,0.429,6th of 6,17,724,846,1749142,27.2,27.1,46,25,J.Wilson (3.6),J.Tracy (68-94)
2006,PIT,NL Central,162,67,95,0,0.414,0.435,5th of 6,16.5,691,797,1861549,27.8,27,42,22,F.Sanchez (4.4),J.Tracy (67-95)
2005,PIT,NL Central,162,67,95,0,0.414,0.444,6th of 6,33,680,769,1817245,27.4,28.7,44,19,J.Bay (5.7),L.McClendon (55-81) and P.Mackanin (12-14)
2004,PIT,NL Central,161,72,89,0,0.447,0.459,5th of 6,32.5,680,744,1580031,27.2,27.7,43,22,O.Perez (5.9),L.McClendon (72-89)
2003,PIT,NL Central,162,75,87,0,0.463,0.472,4th of 6,13,753,801,1636751,29.7,28.3,46,23,K.Wells (5.0),L.McClendon (75-87)
2002,PIT,NL Central,161,72,89,0,0.447,0.441,4th of 6,24.5,641,730,1784988,27.9,28.1,38,19,B.Giles (5.4),L.McClendon (72-89)
2001,PIT,NL Central,162,62,100,0,0.383,0.38,6th of 6,31,657,858,2464870,27.8,28.1,49,22,B.Giles (5.3),L.McClendon (62-100)
2000,PIT,NL Central,162,69,93,0,0.426,0.448,5th of 6,26,793,888,1748908,28.3,27.1,46,24,B.Giles (6.4),G.Lamont (69-93)
1999,PIT,NL Central,161,78,83,0,0.484,0.496,3rd of 6,18.5,775,782,1638023,28.3,26.8,45,21,B.Giles (6.7),G.Lamont (78-83)
1998,PIT,NL Central,163,69,93,1,0.426,0.455,6th of 6,33,650,718,1560950,26.7,26.5,38,17,J.Kendall (5.6),G.Lamont (69-93)
1997,PIT,NL Central,162,79,83,0,0.488,0.478,2nd of 5,5,725,760,1657022,26.6,25.7,43,21,F.Cordova (4.3),G.Lamont (79-83)
1996,PIT,NL Central,162,73,89,0,0.451,0.468,5th of 5,15,776,833,1332150,28.8,27.9,46,25,D.Neagle (6.0),J.Leyland (73-89)
1995,PIT,NL Central,144,58,86,0,0.403,0.429,5th of 5,27,629,736,905517,28.3,26.4,40,21,D.Neagle (4.5),J.Leyland (58-86)
