year,team,division_rank,playoffs,attendance_game_avg,attendance_league_rank,est_payroll,ppf,bpf,stadium
2011,LAD,3,0,36236,6th of 16,103785477.0,96,96,Dodger Stadium
2012,LAD,2,0,41040,3rd of 16,177033600.0,96,96,Dodger Stadium
2013,LAD,1,1,46216,1st of 15,254161000.0,95,96,Dodger Stadium
2014,LAD,1,1,46696,1st of 15,233386026.0,95,96,Dodger Stadium
2015,LAD,1,1,46479,1st of 15,265140429.0,94,95,Dodger Stadium
2016,LAD,1,1,45720,1st of 15,231342096.0,96,97,Dodger Stadium
2017,LAD,1,1,46492,1st of 15,201466263.0,95,96,Dodger Stadium
2018,LAD,1,1,47043,1st of 15,164703429.0,96,98,Dodger Stadium
2019,LAD,1,1,49066,1st of 15,193553333.0,94,96,Dodger Stadium
1995,MIA,4,0,23950,8th of 14,24515781.0,100,100,Joe Robbie Stadium
1996,MIA,3,0,21565,10th of 14,31132000.0,96,97,Joe Robbie Stadium
1997,MIA,2,2,29190,5th of 14,48692500.0,96,95,Pro Player Stadium
1998,MIA,5,0,21363,13th of 16,41864667.0,95,94,Pro Player Stadium
1999,MIA,5,0,17118,15th of 16,21085000.0,94,93,Pro Player Stadium
2000,MIA,3,0,15041,15th of 16,20347000.0,95,94,Pro Player Stadium
2001,MIA,4,0,15765,15th of 16,35762500.0,97,96,Pro Player Stadium
2002,MIA,4,0,10038,15th of 16,41979917.0,97,97,Pro Player Stadium
2003,MIA,2,2,16089,15th of 16,49450000.0,98,98,Pro Player Stadium
2004,MIA,3,0,21539,14th of 16,42143042.0,95,95,"U.S. Cellular Field, Pro Player Stadium"
2005,MIA,3,0,22872,15th of 16,60408834.0,94,94,Dolphins Stadium
2006,MIA,4,0,14372,16th of 16,14671500.0,96,95,Dolphins Stadium
2007,MIA,5,0,16920,16th of 16,30507000.0,98,97,Dolphin Stadium
2008,MIA,3,0,16482,16th of 16,21811500.0,101,101,Dolphin Stadium
2009,MIA,2,0,18075,16th of 16,40029000.0,102,102,Land Shark Stadium
2010,MIA,3,0,18826,16th of 16,57454719.0,103,103,"Sun Life Stadium, Estadio Hiram Bithorn"
2011,MIA,5,0,18772,16th of 16,57694000.0,102,101,Sun Life Stadium
2012,MIA,5,0,27401,12th of 16,107678000.0,103,102,Marlins Park
2013,MIA,5,0,19584,15th of 15,24761900.0,103,102,Marlins Park
2014,MIA,4,0,21386,15th of 15,42365400.0,101,100,Marlins Park
2015,MIA,3,0,21633,15th of 15,71231500.0,97,96,Marlins Park
2016,MIA,3,0,21405,15th of 15,72472000.0,94,93,"Marlins Park, Estadio Hiram Bithorn"
2017,MIA,2,0,20295,15th of 15,111591100.0,91,90,Marlins Park
2018,MIA,5,0,10014,15th of 15,86515143.0,95,94,Marlins Park
2019,MIA,5,0,10016,15th of 15,74683643.0,96,94,Marlins Park
1995,MIL,4,0,15105,13th of 14,17798825.0,105,105,County Stadium
1996,MIL,3,0,16385,12th of 14,21730000.0,104,103,County Stadium
1997,MIL,3,0,18050,11th of 14,23655338.0,102,101,County Stadium
1998,MIL,5,0,22365,11th of 16,34139904.0,101,100,County Stadium
1999,MIL,5,0,21272,13th of 16,43377395.0,99,98,County Stadium
2000,MIL,3,0,19427,14th of 16,37305333.0,98,97,County Stadium
2001,MIL,4,0,34704,7th of 16,43886833.0,98,97,Miller Park
2002,MIL,6,0,24311,11th of 16,50287833.0,99,98,Miller Park
2003,MIL,6,0,20992,13th of 16,40627000.0,100,98,Miller Park
2004,MIL,6,0,25462,13th of 16,27528500.0,101,100,Miller Park
2005,MIL,3,0,27297,11th of 16,39934833.0,101,100,Miller Park
2006,MIL,4,0,28835,10th of 16,57970333.0,101,101,Miller Park
2007,MIL,2,0,35422,8th of 16,70986500.0,100,100,Miller Park
2008,MIL,2,1,37882,6th of 16,80937499.0,98,98,Miller Park
2009,MIL,3,0,37499,6th of 16,81384502.0,98,98,Miller Park
2010,MIL,3,0,34278,7th of 16,81108278.0,100,100,Miller Park
2011,MIL,1,1,37918,4th of 16,86636333.0,103,103,Miller Park
2012,MIL,3,0,34955,6th of 16,95717000.0,104,105,Miller Park
2013,MIL,4,0,31248,9th of 15,86945000.0,103,103,Miller Park
2014,MIL,3,0,34536,4th of 15,109567000.0,103,103,Miller Park
2015,MIL,4,0,31390,7th of 15,70869500.0,101,100,Miller Park
2016,MIL,4,0,28575,9th of 15,52077500.0,102,102,Miller Park
2017,MIL,2,0,31282,6th of 15,68439300.0,101,101,Miller Park
2018,MIL,1,1,35196,6th of 15,109295700.0,101,102,Miller Park
2019,MIL,2,1,36091,5th of 15,128842900.0,101,101,Miller Park
1995,MIN,5,0,14690,14th of 14,25410500.0,102,101,Hubert H. Humphrey Metrodome
1996,MIN,4,0,17529,11th of 14,23117000.0,102,101,Hubert H. Humphrey Metrodome
1997,MIN,4,0,17421,12th of 14,34072500.0,101,100,Hubert H. Humphrey Metrodome
1998,MIN,4,0,14395,14th of 14,28097500.0,102,101,Hubert H. Humphrey Metrodome
1999,MIN,5,0,14850,14th of 14,22107500.0,104,103,Hubert H. Humphrey Metrodome
2000,MIN,5,0,12355,14th of 14,17529500.0,105,104,Hubert H. Humphrey Metrodome
2001,MIN,2,0,22011,11th of 14,24130000.0,101,101,Hubert H. Humphrey Metrodome
2002,MIN,1,1,23759,9th of 14,40425000.0,100,100,Hubert H. Humphrey Metrodome
2003,MIN,1,1,24025,8th of 14,55505000.0,100,101,Hubert H. Humphrey Metrodome
2004,MIN,1,1,23599,10th of 14,53890000.0,102,102,Hubert H. Humphrey Metrodome
2005,MIN,3,0,25114,9th of 14,56186000.0,102,102,Hubert H. Humphrey Metrodome
2006,MIN,1,1,28210,9th of 14,63396006.0,98,98,Hubert H. Humphrey Metrodome
2007,MIN,3,0,28350,10th of 14,71439500.0,95,95,Hubert H. Humphrey Metrodome
2008,MIN,2,0,28425,8th of 14,56932766.0,96,96,Hubert H. Humphrey Metrodome
2009,MIN,1,1,29466,5th of 14,67804266.0,98,98,Hubert H. Humphrey Metrodome
2010,MIN,1,1,39798,3rd of 14,97559166.0,98,98,Target Field
2011,MIN,5,0,39113,2nd of 14,112737000.0,99,99,Target Field
2012,MIN,5,0,34276,6th of 14,99066000.0,100,98,Target Field
2013,MIN,4,0,30588,7th of 15,63042500.0,102,101,Target Field
2014,MIN,5,0,27785,8th of 15,87044000.0,102,102,Target Field
2015,MIN,2,0,27408,9th of 15,107755000.0,101,100,Target Field
2016,MIN,5,0,24246,11th of 15,93333700.0,100,100,Target Field
2017,MIN,2,1,25324,10th of 15,103932500.0,101,100,Target Field
2018,MIN,2,0,24188,8th of 15,110275000.0,100,101,Target Field
2019,MIN,1,1,28323,5th of 15,113758333.0,99,100,Target Field
1995,NYM,2,0,17683,11th of 14,27674992.0,96,96,Shea Stadium
1996,NYM,4,0,19609,12th of 14,24479500.0,95,95,Shea Stadium
1997,NYM,3,0,21805,10th of 14,39800400.0,97,97,Shea Stadium
1998,NYM,2,0,28246,9th of 16,52247999.0,99,99,Shea Stadium
1999,NYM,2,1,33650,7th of 16,68852092.0,97,97,Shea Stadium
2000,NYM,2,1,34821,8th of 16,79509776.0,96,96,"Shea Stadium, Tokyo Dome"
2001,NYM,3,0,32819,10th of 16,93174428.0,95,95,Shea Stadium
2002,NYM,5,0,34628,5th of 16,94633593.0,97,96,Shea Stadium
2003,NYM,5,0,26757,11th of 16,117176429.0,98,97,Shea Stadium
2004,NYM,4,0,28629,11th of 16,102035970.0,99,98,Shea Stadium
2005,NYM,3,0,34937,6th of 16,101305821.0,97,97,Shea Stadium
2006,NYM,1,1,41723,3rd of 16,101584963.0,97,98,Shea Stadium
2007,NYM,2,0,47580,2nd of 16,116181663.0,97,98,Shea Stadium
2008,NYM,2,0,49902,1st of 16,137793376.0,98,98,Shea Stadium
2009,NYM,4,0,39118,5th of 16,151994237.0,97,97,Citi Field
2010,NYM,4,0,31602,8th of 16,134422942.0,97,97,Citi Field
2011,NYM,4,0,29044,9th of 16,151897309.0,96,96,Citi Field
2012,NYM,4,0,27689,11th of 16,91621424.0,96,95,Citi Field
2013,NYM,3,0,26366,13th of 15,69425860.0,95,94,Citi Field
2014,NYM,2,0,26528,13th of 15,82663615.0,94,94,Citi Field
2015,NYM,1,1,31725,6th of 15,98874473.0,97,97,Citi Field
2016,NYM,2,1,34440,5th of 15,155221282.0,96,96,Citi Field
2017,NYM,4,0,30378,9th of 15,176615252.0,95,94,Citi Field
2018,NYM,4,0,27469,10th of 15,161403844.0,92,92,Citi Field
2019,NYM,3,0,30155,9th of 15,160937230.0,92,92,Citi Field
1995,NYY,2,1,23360,7th of 14,48874851.0,98,99,Yankee Stadium II
1996,NYY,1,2,28136,7th of 14,54191792.0,100,101,Yankee Stadium II
1997,NYY,2,1,32254,5th of 14,62241545.0,98,100,Yankee Stadium II
1998,NYY,1,2,36484,3rd of 14,66806867.0,95,97,"Yankee Stadium II, Shea Stadium"
1999,NYY,1,2,40651,3rd of 14,86934359.0,96,98,Yankee Stadium II
2000,NYY,1,2,38193,3rd of 14,93113260.0,98,99,Yankee Stadium II
2001,NYY,1,1,40811,2nd of 14,112787143.0,100,101,Yankee Stadium II
2002,NYY,1,1,43323,2nd of 14,125928583.0,99,100,Yankee Stadium II
2003,NYY,1,1,42263,1st of 14,152749814.0,97,98,Yankee Stadium II
2004,NYY,1,1,46609,1st of 14,184193950.0,97,98,Yankee Stadium II
2005,NYY,1,1,50502,1st of 14,208306817.0,97,98,Yankee Stadium II
2006,NYY,1,1,52445,1st of 14,194663079.0,99,101,Yankee Stadium II
2007,NYY,2,1,52729,1st of 14,207039045.0,100,101,Yankee Stadium II
2008,NYY,3,0,53070,1st of 14,212286789.0,101,103,Yankee Stadium II
